,new_code,Code,Code_lower,Count_lower,Title,Title_lower,Year_of_workshop,quarter,Org,Country,Big_Idea,age,gender,Repeat,Notes,content,Content1,Content2,RIGHT
11,11,8839,8839,1,Self Control Reading Bible,self control reading bible,2017,1,VSA,Singapore,Power,0,F,1,young adult in Singapore with developmental or physical disability,"by 
friends 
stay positive, relax, listen and be quiet 
good girl 
be happy, make friends 
take a deep breath 
make friends 
listen to music not so loud 
make soft 
read mandarin bible 
shhhhhh quiet. 
when i’m afraid i pray 
magic pencil, friends, shhhhhhh. 
my sister’s friend gave me this keychain 
shhhhhh don’t make noise, control your anger 
shhhhhh relax. 
shhhhh take a deep breath. 
shhhhh i use my brain to help me relax. 
relax, relax. 
i like to play kingka with lemual 
i must pray that he will not anger 
and i will not show my tantrums. 
shhhhhhh....","by 
friends 
stay positive, relax, listen and be quiet 
good girl 
be happy, make friends 
take a deep breath 
make friends 
listen to music not so loud 
make soft 
read mandarin bible 
shhhhhh quiet. 
when i’m afraid i pray 
magic pencil, friends, shhhhhhh. 
my sister’s friend gave me this keychain 
shhhhhh don’t make noise, control your anger 
shhhhhh relax. 
shhhhh take a deep breath. 
shhhhh i use my brain to help me relax. 
relax, relax. 
i like to play kingka with lemual 
i must pray that he will not anger 
and i will not show my tantrums. 
shhhhhhh....","by 
friends 
stay positive, relax, listen and be quiet 
good girl 
be happy, make friends 
take a deep breath 
make friends 
listen to music not so loud 
make soft 
read mandarin bible 
shhhhhh quiet. 
when i’m afraid i pray 
magic pencil, friends, shhhhhhh. 
my sister’s friend gave me this keychain 
shhhhhh don’t make noise, control your anger 
shhhhhh relax. 
shhhhh take a deep breath. 
shhhhh i use my brain to help me relax. 
relax, relax. 
i like to play kingka with lemual 
i must pray that he will not anger 
and i will not show my tantrums. 
shhhhhhh....",1
12,12,4820,4820,1,Glow Sticks Meet Intersection,glow sticks meet intersection,2017,1,VSA,Singapore,Power,0,F,1,young adult in Singapore with developmental or physical disability,"the lights in two glow sticks travelled in a straight line. 
electricity slows from positive terminal to negative terminal of 
batteries and 
electricity travels from batteries to the glow sticks. 
two glow sticks travel from chemical potential energy (batteries) to 
electrical energy. 
the light in the two glow sticks is a source of energy. 
energy is powerful! 
i feel so scared when there is no light anywhere in the house. 
in the dark, i cannot see the words in my book. 
i cannot concentrate on anything.","the lights in two glow sticks travelled in a straight line. 
electricity slows from positive terminal to negative terminal of 
batteries and 
electricity travels from batteries to the glow sticks. 
two glow sticks travel from chemical potential energy (batteries) to 
electrical energy. 
the light in the two glow sticks is a source of energy. 
energy is powerful! 
i feel so scared when there is no light anywhere in the house. 
in the dark, i cannot see the words in my book. 
i cannot concentrate on anything.","the lights in two glow sticks travelled in a straight line. 
electricity slows from positive terminal to negative terminal of 
batteries and 
electricity travels from batteries to the glow sticks. 
two glow sticks travel from chemical potential energy (batteries) to 
electrical energy. 
the light in the two glow sticks is a source of energy. 
energy is powerful! 
i feel so scared when there is no light anywhere in the house. 
in the dark, i cannot see the words in my book. 
i cannot concentrate on anything.",1
13,13,5373,5373,1,The Flying Boy in the Sky,the flying boy in the sky,2017,1,VSA,Singapore,Power,0,F,1,young adult in Singapore with developmental or physical disability,"the flying boy in is pointing at the sun and 
the sun will give off heat. 
in real life, they should not fly up to the sky 
because the weight of the people may drop down to the 
ground due to gravitational potential energy. 
i feel so painful when i fall down from the sky to the ground!","the flying boy in is pointing at the sun and 
the sun will give off heat. 
in real life, they should not fly up to the sky 
because the weight of the people may drop down to the 
ground due to gravitational potential energy. 
i feel so painful when i fall down from the sky to the ground!","the flying boy in is pointing at the sun and 
the sun will give off heat. 
in real life, they should not fly up to the sky 
because the weight of the people may drop down to the 
ground due to gravitational potential energy. 
i feel so painful when i fall down from the sky to the ground!",1
14,14,8751,8751,1,The Unicorn Leona is Flying,the unicorn leona is flying,2017,1,VSA,Singapore,Power,0,F,1,young adult in Singapore with developmental or physical disability,"the unicorn is flying 
will make a new environment in japan because there is a tsunami. 
the horn of the unicorn has heat and light and gives the power to fly. 
the horn of the unicorn is converted from chemical potential energy 
(batteries) to light energy. 
i felt so happy when the unicorn makes a new environment in japan. 
that is a pet of leona from rainbow magic.","the unicorn is flying 
will make a new environment in japan because there is a tsunami. 
the horn of the unicorn has heat and light and gives the power to fly. 
the horn of the unicorn is converted from chemical potential energy 
(batteries) to light energy. 
i felt so happy when the unicorn makes a new environment in japan. 
that is a pet of leona from rainbow magic.","the unicorn is flying 
will make a new environment in japan because there is a tsunami. 
the horn of the unicorn has heat and light and gives the power to fly. 
the horn of the unicorn is converted from chemical potential energy 
(batteries) to light energy. 
i felt so happy when the unicorn makes a new environment in japan. 
that is a pet of leona from rainbow magic.",1
15,15,3931,3931,1,Unique Zebra Savannah is Between the Four,unique zebra savannah is between the four,2017,1,VSA,Singapore,Power,0,F,1,young adult in Singapore with developmental or physical disability,"zebras 
in africa, a unique zebra is standing 
between four zebras. 
i felt so ashamed when i saw the backside of the zebra in the herd! 
the zebra will be a pet of savannah’s from rainbow magic.","zebras 
in africa, a unique zebra is standing 
between four zebras. 
i felt so ashamed when i saw the backside of the zebra in the herd! 
the zebra will be a pet of savannah’s from rainbow magic.","zebras 
in africa, a unique zebra is standing 
between four zebras. 
i felt so ashamed when i saw the backside of the zebra in the herd! 
the zebra will be a pet of savannah’s from rainbow magic.",1
16,16,3252,3252,1,BEACH CLEAN-UP,beach clean-up,2017,2,VSA,Singapore,Aram,17,M,2,young adult in Singapore with developmental or physical disability,"every year my school has beach clean-up. mother earth won’t die! 
throwing trash in seas, 
leads to more pollution. makes aquatic animals choke to death. extinction. 
beach clean-up! saves the environment. students help to clean rubbish from sand. recycle. 
learn community encouragement. 
teamwork... 
strengthen education... build fundamental values of students. 
contribute to society!","every year my school has beach clean-up. mother earth won’t die! 
throwing trash in seas, 
leads to more pollution. makes aquatic animals choke to death. extinction. 
beach clean-up! saves the environment. students help to clean rubbish from sand. recycle. 
learn community encouragement. 
teamwork... 
strengthen education... build fundamental values of students. 
contribute to society!","every year my school has beach clean-up. mother earth won’t die! 
throwing trash in seas, 
leads to more pollution. makes aquatic animals choke to death. extinction. 
beach clean-up! saves the environment. students help to clean rubbish from sand. recycle. 
learn community encouragement. 
teamwork... 
strengthen education... build fundamental values of students. 
contribute to society!",1
17,17,4553,4553,1,KOALAS,koalas,2017,2,VSA,Singapore,Aram,17,M,2,young adult in Singapore with developmental or physical disability,"koalas are bear-cats native to the australian outback they are cute, 
with greyish fur. they are marsupials big mammas with pouches like wombats and kangaroos they eat eucalyptus trees’ leaves, 
and hug on it. you can find them in zoos, 
or visit australia!","koalas are bear-cats native to the australian outback they are cute, 
with greyish fur. they are marsupials big mammas with pouches like wombats and kangaroos they eat eucalyptus trees’ leaves, 
and hug on it. you can find them in zoos, 
or visit australia!","koalas are bear-cats native to the australian outback they are cute, 
with greyish fur. they are marsupials big mammas with pouches like wombats and kangaroos they eat eucalyptus trees’ leaves, 
and hug on it. you can find them in zoos, 
or visit australia!",1
18,18,3955,3955,1,MONKEYS,monkeys,2017,2,VSA,Singapore,Aram,17,M,2,young adult in Singapore with developmental or physical disability,"by chong yao qing 
monkeys eat bananas they are mammals 
swing in the jungle trees 
they’re cheeky and bit people they 
also snatch food from passers-by.","by chong yao qing 
monkeys eat bananas they are mammals 
swing in the jungle trees 
they’re cheeky and bit people they 
also snatch food from passers-by.","by chong yao qing 
monkeys eat bananas they are mammals 
swing in the jungle trees 
they’re cheeky and bit people they 
also snatch food from passers-by.",1
19,19,7079,7079,1,SWEET TOOTH,sweet tooth,2017,2,VSA,Singapore,Aram,17,M,2,young adult in Singapore with developmental or physical disability,"i have a sweet tooth. 
i like to eat pastries, 
like cream puffs and eclairs. 
they make me happy! 
bubble tea livens-up my spirit. 
chocolate tastes like milk. 
i like ice cream.","i have a sweet tooth. 
i like to eat pastries, 
like cream puffs and eclairs. 
they make me happy! 
bubble tea livens-up my spirit. 
chocolate tastes like milk. 
i like ice cream.","i have a sweet tooth. 
i like to eat pastries, 
like cream puffs and eclairs. 
they make me happy! 
bubble tea livens-up my spirit. 
chocolate tastes like milk. 
i like ice cream.",1
20,20,7981,7981,1,THOUGHTFULNESS,thoughtfulness,2017,2,VSA,Singapore,Aram,17,M,2,young adult in Singapore with developmental or physical disability,"thoughtfulness is a moral value 
to encourage and appreciate kindness in... 
public transport. 
like bus and train. 
people can explore—all access singapore, 
via the mrt. 
you should reserve a seat to 
an elderly commuter or young children. 
respect others. 
move in when crowded. 
be considerate when on an mrt or bus. 
use earpieces while watching videos. 
or lower your phone volume, 
to 45 percent. 
speak quietly. 
do not disturb.... 
the environment.","thoughtfulness is a moral value 
to encourage and appreciate kindness in... 
public transport. 
like bus and train. 
people can explore—all access singapore, 
via the mrt. 
you should reserve a seat to 
an elderly commuter or young children. 
respect others. 
move in when crowded. 
be considerate when on an mrt or bus. 
use earpieces while watching videos. 
or lower your phone volume, 
to 45 percent. 
speak quietly. 
do not disturb.... 
the environment.","thoughtfulness is a moral value 
to encourage and appreciate kindness in... 
public transport. 
like bus and train. 
people can explore—all access singapore, 
via the mrt. 
you should reserve a seat to 
an elderly commuter or young children. 
respect others. 
move in when crowded. 
be considerate when on an mrt or bus. 
use earpieces while watching videos. 
or lower your phone volume, 
to 45 percent. 
speak quietly. 
do not disturb.... 
the environment.",1
21,21,9260,9260,2,AT THE HOUSE WITH FAMILY,at the house with family,2017,2,VSA,Singapore,Aram,0,M,2,young adult in Singapore with developmental or physical disability,"i heard my parents quarrelling with each other. 
i felt scared. 
i (covered) my ears. 
i do not know what to do so, 
i hide away 
in my room. 
i make a drawing of my family in love. 
i hope this makes my parents feel happy. 
makes them interested in it. 
mum said thankfully, she was impressed by my drawing.","i heard my parents quarrelling with each other. 
i felt scared. 
i (covered) my ears. 
i do not know what to do so, 
i hide away 
in my room. 
i make a drawing of my family in love. 
i hope this makes my parents feel happy. 
makes them interested in it. 
mum said thankfully, she was impressed by my drawing.","i heard my parents quarrelling with each other. 
i felt scared. 
i (covered) my ears. 
i do not know what to do so, 
i hide away 
in my room. 
i make a drawing of my family in love. 
i hope this makes my parents feel happy. 
makes them interested in it. 
mum said thankfully, she was impressed by my drawing.",1
22,22,9260,9260,2,Magical Unicorn!,magical unicorn!,2017,,HCSA Dayspring,Singapore,Journeys,,F,1,behavioral issues,"magical thoughts 
wonderful experience 
adventure 
galaxy 
unexplained picture 
mystery 
confusion 
imagine 
exciting 
smell of rose","magical thoughts 
wonderful experience 
adventure 
galaxy 
unexplained picture 
mystery 
confusion 
imagine 
exciting 
smell of rose","magical thoughts 
wonderful experience 
adventure 
galaxy 
unexplained picture 
mystery 
confusion 
imagine 
exciting 
smell of rose",1
23,23,4178,4178,1,COLOURS MATCH TASTES and,colours match tastes and,2017,2,VSA,Singapore,Aram,0,M,2,young adult in Singapore with developmental or physical disability,"feelings 
purple is my favourite colour, 
it has the same colours as the national flower of singapore. 
purple has the same flavour as blueberry 
it has the same colour as brinjal, my favourite vegetable. 
i can hear the beautiful ocean waves where the sunset is light purple and 
orange. 
i could see the dolphin, jumping on the blue sea. 
the sands of the beach are smooth like the ocean, 
i could see the white clouds and feel the breeze. 
during the picnic, my friends and i bought vanilla and chocolate ice-cream. 
oh no! it’s gonna melt as we put them for so long on the beach! 
so, we decided to make a sand castle and have exciting 
games there in the dark. 
we ended up buying bubble tea and drinking peacefully 
with the calming sea.","feelings 
purple is my favourite colour, 
it has the same colours as the national flower of singapore. 
purple has the same flavour as blueberry 
it has the same colour as brinjal, my favourite vegetable. 
i can hear the beautiful ocean waves where the sunset is light purple and 
orange. 
i could see the dolphin, jumping on the blue sea. 
the sands of the beach are smooth like the ocean, 
i could see the white clouds and feel the breeze. 
during the picnic, my friends and i bought vanilla and chocolate ice-cream. 
oh no! it’s gonna melt as we put them for so long on the beach! 
so, we decided to make a sand castle and have exciting 
games there in the dark. 
we ended up buying bubble tea and drinking peacefully 
with the calming sea.","feelings 
purple is my favourite colour, 
it has the same colours as the national flower of singapore. 
purple has the same flavour as blueberry 
it has the same colour as brinjal, my favourite vegetable. 
i can hear the beautiful ocean waves where the sunset is light purple and 
orange. 
i could see the dolphin, jumping on the blue sea. 
the sands of the beach are smooth like the ocean, 
i could see the white clouds and feel the breeze. 
during the picnic, my friends and i bought vanilla and chocolate ice-cream. 
oh no! it’s gonna melt as we put them for so long on the beach! 
so, we decided to make a sand castle and have exciting 
games there in the dark. 
we ended up buying bubble tea and drinking peacefully 
with the calming sea.",1
24,24,5456,5456,1,MAKING FRIENDSHIPS,making friendships,2017,2,VSA,Singapore,Aram,0,M,2,young adult in Singapore with developmental or physical disability,"during the free day, 
my friends 
lyohson 
johnathon... 
hang 
out 
together... on the way to the beach. 
we should give elderly a seat in mrt. 
once we see it, oh no! 
it ... looks ... dirty. 
it is not environmentally friendly. 
many people just throw rubbish, 
and it is polluted by oil from ships. 
to clean up, we brought a net to collect litters. 
we love each other and cuddling at the clean beach. 
and we finished hanging out. 
my friends are aram because they are kind to me, 
kind... 
honest also... 
same interests... 
comfortable.","during the free day, 
my friends 
lyohson 
johnathon... 
hang 
out 
together... on the way to the beach. 
we should give elderly a seat in mrt. 
once we see it, oh no! 
it ... looks ... dirty. 
it is not environmentally friendly. 
many people just throw rubbish, 
and it is polluted by oil from ships. 
to clean up, we brought a net to collect litters. 
we love each other and cuddling at the clean beach. 
and we finished hanging out. 
my friends are aram because they are kind to me, 
kind... 
honest also... 
same interests... 
comfortable.","during the free day, 
my friends 
lyohson 
johnathon... 
hang 
out 
together... on the way to the beach. 
we should give elderly a seat in mrt. 
once we see it, oh no! 
it ... looks ... dirty. 
it is not environmentally friendly. 
many people just throw rubbish, 
and it is polluted by oil from ships. 
to clean up, we brought a net to collect litters. 
we love each other and cuddling at the clean beach. 
and we finished hanging out. 
my friends are aram because they are kind to me, 
kind... 
honest also... 
same interests... 
comfortable.",1
25,25,2561,2561,1,ALWAYS BE GOOD and HAPPY,always be good and happy,2017,2,VSA,Singapore,Aram,0,,2,young adult in Singapore with developmental or physical disability,"scenario 2: 
last year. 2016. 
always in (?) advice many proof. 
thomas, james, percy and gordon. 
be good and safe. 
pink heart and white cylinder. 
they all for fun! 
we can be kind for you. 
the great outdoors.","scenario 2: 
last year. 2016. 
always in (?) advice many proof. 
thomas, james, percy and gordon. 
be good and safe. 
pink heart and white cylinder. 
they all for fun! 
we can be kind for you. 
the great outdoors.","scenario 2: 
last year. 2016. 
always in (?) advice many proof. 
thomas, james, percy and gordon. 
be good and safe. 
pink heart and white cylinder. 
they all for fun! 
we can be kind for you. 
the great outdoors.",1
26,26,1681,1681,1,POWER-UP MEGASTORE,power-up megastore,2017,2,VSA,Singapore,Aram,0,,2,young adult in Singapore with developmental or physical disability,"in year 2015, first of 5 june of the year. 
scenario 1: 
there are new friends in each day, 
3 of them 
2 girls and, 
1 boy. 
there were very happy. 
last year. 
we also very good in megastore. 
in 2015, i also about megastore. 
start in 5-june-2015. 
they all for in 2015.","in year 2015, first of 5 june of the year. 
scenario 1: 
there are new friends in each day, 
3 of them 
2 girls and, 
1 boy. 
there were very happy. 
last year. 
we also very good in megastore. 
in 2015, i also about megastore. 
start in 5-june-2015. 
they all for in 2015.","in year 2015, first of 5 june of the year. 
scenario 1: 
there are new friends in each day, 
3 of them 
2 girls and, 
1 boy. 
there were very happy. 
last year. 
we also very good in megastore. 
in 2015, i also about megastore. 
start in 5-june-2015. 
they all for in 2015.",1
27,27,8678,8678,1,WE CAN ALSO ABOUT THE OWN,we can also about the own,2017,2,VSA,Singapore,Aram,0,,2,young adult in Singapore with developmental or physical disability,"scenario 3: 
this year. 2017 
we always on our own—my own. 
i can also about the great outdoors.","scenario 3: 
this year. 2017 
we always on our own—my own. 
i can also about the great outdoors.","scenario 3: 
this year. 2017 
we always on our own—my own. 
i can also about the great outdoors.",1
28,28,1237,1237,1,ANIMALS,animals,2017,2,VSA,Singapore,Aram,21,F,2,young adult in Singapore with developmental or physical disability,"koala bear is cute 
dolphin swimming 
koala—learned about kimberly the koala 
hugging the tree leaves, eating eucalyptus. 
kitten cute 
monkeys—they are cheeky 
unicorn—so beautiful and colourful 
oranges—give energy","koala bear is cute 
dolphin swimming 
koala—learned about kimberly the koala 
hugging the tree leaves, eating eucalyptus. 
kitten cute 
monkeys—they are cheeky 
unicorn—so beautiful and colourful 
oranges—give energy","koala bear is cute 
dolphin swimming 
koala—learned about kimberly the koala 
hugging the tree leaves, eating eucalyptus. 
kitten cute 
monkeys—they are cheeky 
unicorn—so beautiful and colourful 
oranges—give energy",1
